University,Location,AI Rank Latin America,AI Rank World,Founded Year
1. University of Buenos Aires,Argentina | Buenos Aires,13,691,1821
2. National University of La Plata,Argentina | La Plata,22,952,1905
3. National University of the South,Argentina | Bahia Blanca,41,1378,1956
4. National University of Cordoba,Argentina | Cordoba,47,1436,1613
5. National University of Rosario,Argentina | Rosario,58,1678,1968
6. National University of San Juan,Argentina | San Juan,65,1856,1973
7. National University of Mar del Plata,Argentina | Mar del Plata,81,2094,1975
8. National University of San Luis,Argentina | San Luis,96,2238,1973
9. National University of Litoral,Argentina | Santa Fe,101,2296,1919
10. National Technological University,Argentina | Buenos Aires,102,2346,1959
11. National University of Rio Cuarto,Argentina | Rio Cuarto,119,2657,1971
12. National University of Cuyo,Argentina | Mendoza,121,2711,1939
"13. National University of San Martin, Argentina",Argentina | San Martin,132,2861,1992
14. National University of Comahue,Argentina | Neuquen,139,3073,1972
15. National University of Tucuman,Argentina | San Miguel de Tucuman,140,3075,1914
16. National University of Entre Rios,Argentina | Concepcion del Uruguay,143,3120,1973
17. Torcuato di Tella University,Argentina | Buenos Aires,168,3465,1991
18. National University of Quilmes,Argentina | Quilmes,174,3576,1989
19. University of San Andres,Argentina | Victoria,179,3603,1988
20. University Institute of the Italian Hospital,Argentina | Buenos Aires,185,3693,2000
21. National University of General Sarmiento,Argentina | Los Polvorines,186,3730,1992
22. National University of La Pampa,Argentina | Santa Rosa,198,3814,1958
23. Favaloro University,Argentina | Buenos Aires,219,4116,1992
24. Austral University,Argentina | Buenos Aires,225,4196,1991
25. National University of Salta,Argentina | Salta,229,4263,1972
26. Pontifical Catholic University of Argentina,Argentina | Buenos Aires,237,4370,1958
27. Northeast National University,Argentina | Corrientes,244,4460,1956
28. University of Salvador,Argentina | Buenos Aires,260,4648,1958
29. National University of Misiones,Argentina | Posadas,283,4864,1973
30. University of Belgrano,Argentina | Buenos Aires,292,5006,1964
31. National University of Lujan,Argentina | Lujan,299,5071,1972
"32. Argentine Business University, Buenos Aires",Argentina | Buenos Aires,301,5076,1968
33. Catholic University of Cordoba,Argentina | Cordoba,315,5256,1956
34. Interamerican Open University,Argentina | Buenos Aires,316,5284,1995
35. University of Mendoza,Argentina | Mendoza,321,5331,1959
36. National University of Jujuy,Argentina | San Salvador de Jujuy,329,5397,1972
37. National University of La Matanza,Argentina | San Justo,334,5430,1989
